date,GBX,USD
2013-08-05,155.82,2.3819646378355346
2013-08-06,156.01,2.3968437755810843
2013-08-07,154.6,2.370044050979386
2013-08-08,153.87,2.384098905144746
2013-08-09,153.91,2.392410882245324
2013-08-12,153.86,2.3868897408392695
2013-08-13,154.1,2.3824298517347464
2013-08-14,153.91,2.3782066900847934
2013-08-15,152.52,2.366574953152295
2013-08-16,150.28,2.3506832060008334
2013-08-19,149.97,2.345946222963866
2013-08-20,149.61,2.3413269106013086
2013-08-21,149.67,2.3447173814898417
2013-08-22,149.97,2.3433103618896656
2013-08-23,150.34,2.343356861653733
2013-08-27,150.97,2.3507414193174125
2013-08-28,149.58,2.3245754195608095
2013-08-29,148.76,2.310793440935171
2013-08-30,149.31,2.3180007920792076
2013-09-02,148.93,2.3173075828226075
2013-09-03,149.0,2.317784793363915
2013-09-04,147.97,2.3027457955578097
2013-09-05,148.75,2.3238185947397922
2013-09-06,149.14,2.3292197953507894
2013-09-09,148.63,2.3240367174316567
2013-09-10,150.16,2.3579098645993737
2013-09-12,150.79,2.3865209203773503
2013-09-13,151.04,2.3861901461094117
2013-09-16,151.33,2.413387454198719
2013-09-17,151.88,2.414920373632239
2013-09-18,151.53,2.4093676298725577
2013-09-19,152.77,2.4667714081161116
2013-09-20,153.23,2.4585153161378677
2013-09-23,152.21,2.44004699508138
2013-09-24,152.01,2.4377350439149525
2013-09-25,150.58,2.409910315136531
2013-09-26,149.97,2.410740026098303
2013-09-27,149.97,2.4051494164058425
2013-09-30,148.96,2.408993552338043
2013-10-01,147.7,2.3924427961241403
2013-10-02,147.85,2.390705569250234
2013-10-03,148.08,2.4038587232734097
2013-10-04,148.36,2.3987669365409827
2013-10-07,148.04,2.376711489343059
2013-10-08,147.44,2.3722125898019977
2013-10-09,147.27,2.369128887601011
2013-10-10,147.58,2.3537990747980198
2013-10-11,148.96,2.3815918519082144
2013-10-14,149.89,2.39553922050791
2013-10-15,151.07,2.4159342613630184
2013-10-16,148.38,2.370587912183082
2013-10-17,150.5,2.4049150805270862
2013-10-18,151.1,2.440242397343591
2013-10-21,152.21,2.4605695779402255
2013-10-22,152.93,2.4679150624266937
2013-10-23,153.66,2.496598811591958
2013-10-24,153.72,2.4893981016241655
2013-10-25,153.98,2.4944585723638215
2013-10-28,154.99,2.507055173408161
2013-10-29,156.31,2.5156410306523562
2013-10-30,156.74,2.5129619518845936
2013-10-31,155.78,2.4987511791959673
2013-11-01,155.48,2.492913396263434
2013-11-04,155.83,2.483757778814543
2013-11-05,155.35,2.4829203282361387
2013-11-06,155.65,2.502730685775661
2013-11-07,156.8,2.521017253173216
2013-11-08,155.26,2.4998733267142947
2013-11-11,157.06,2.5160070907374017
2013-11-12,158.0,2.5240491931929347
2013-11-13,156.92,2.494668224672505
2013-11-14,157.59,2.528001984539431
2013-11-15,157.88,2.5375152973159576
2013-11-18,158.35,2.5520843024828253
2013-11-19,157.66,2.5413845635980628
2013-11-20,157.25,2.5359574427563993
2013-11-21,156.81,2.5228038918568885
2013-11-22,156.91,2.5413757808438744
2013-11-25,157.7,2.560012479292004
2013-11-26,157.75,2.548873074165019
2013-11-27,156.31,2.533672239193524
2013-11-28,156.14,2.546808866543793
2013-11-29,156.32,2.559112711994223
2013-12-02,155.38,2.5536619389272897
2013-12-04,154.51,2.532771454995184
2013-12-05,154.61,2.5330820819524615
2013-12-06,154.07,2.5175342516424672
2013-12-09,155.25,2.5384767666344907
2013-12-10,154.97,2.5504397319291523
2013-12-11,154.57,2.540738240176472
2013-12-12,152.81,2.5023798047712655
2013-12-13,152.73,2.497942315522477
2013-12-16,152.32,2.4834742032149895
2013-12-17,153.06,2.497629084012049
2013-12-18,152.32,2.4811599847850894
2013-12-19,154.55,2.530467196720225
2013-12-20,154.74,2.533685677132121
2013-12-23,155.56,2.54415854334928
2013-12-24,156.14,2.5538527375735844
2013-12-27,156.54,2.5736448784376247
2013-12-30,156.9,2.5856858087859886
2013-12-31,156.69,2.5830966622073577
2014-01-02,155.64,2.5815651646581883
2014-01-03,154.85,2.5444729306020064
2014-01-06,155.69,2.54796536289045
2014-01-07,154.83,2.5410275519579963
2014-01-08,154.66,2.5365925667574927
2014-01-09,153.73,2.530340167591095
2014-01-10,154.38,2.544792887326251
2014-01-13,154.57,2.550895596019944
2014-01-14,154.14,2.5284323808895346
2014-01-15,154.94,2.5453799536551243
2014-01-16,156.5,2.562235888831995
2014-01-17,155.84,2.546114230109008
2014-01-20,155.47,2.5530644200899353
2014-01-21,156.41,2.5708449913119025
2014-01-22,156.12,2.5742186862203273
2014-01-23,156.41,2.592469571067395
2014-01-24,154.97,2.578082340177116
2014-01-27,152.87,2.5232532799946883
2014-01-28,152.02,2.5220023129176563
2014-01-29,152.14,2.522640924397491
2014-01-30,150.49,2.492957927779559
2014-01-31,150.79,2.486088943736905
2014-02-03,152.5,2.5052977151710896
2014-02-04,149.73,2.44189677383981
2014-02-05,150.47,2.4577277779604008
2014-02-06,150.87,2.4622207440107795
2014-02-07,151.93,2.480717809679795
2014-02-17,154.7,2.5998270846297444
2014-02-18,154.76,2.590078646295967
2014-02-19,155.09,2.588587366284064
2014-02-20,154.56,2.577420123203286
2014-02-21,155.21,2.586234155902005
2014-02-24,155.39,2.5857366111867197
2014-02-25,155.88,2.599105593494124
2014-02-26,155.97,2.6019823703968137
2014-02-27,155.68,2.5966572381587727
2014-02-28,156.31,2.6088030257759542
2014-03-03,155.67,2.6079144407054344
2014-03-04,155.94,2.5980449563074166
2014-03-05,156.93,2.6163752175076964
